,info
9529,"Quelle des Schädlingsbefalls ermitteln, Inspizieren von Gebäuden und Umgebung, um die Quelle und den Umfang von Schäden durch Schädlinge zu ermitteln."
9530,"an der Vorbereitung von Weinstöcken teilnehmen, Beteiligen an der Vorbereitung von Weinstöcken, Eggen, Anbringen von Pfählen, Ketten und sonstigen Hilfsmitteln, Anpflanzen von Wein."
9531,"mit Tierärzten und Tierärztinnen arbeiten, Konsultieren von Tierärzten und Leisten von Unterstützung bei der Untersuchung und Pflege von Tieren."
9532,"Verkabelung reparieren, Ermitteln von Fehlern in Drähten oder Kabeln mithilfe spezieller Geräte und Beheben dieser Fehler, je nach Art der Verkabelung."
9533,"Fahrgestell konstruieren, Entwickeln und Anfertigen einer Reihe von kundenspezifischen Fahrgestellen mithilfe einer Designsoftware. Einhalten der eigenen Pläne, Kreationen und Entwürfe."
9534,"Geräte für Prospektionen bedienen, Bedienen und Anpassen von Messinstrumenten wie Theodoliten und Prismen sowie anderen elektronischen Fernmessgeräten."
9535,"Wassertiere lebend ernten, Vorbereiten der Ernte lebender Arten. Einfangen lebender Wassertiere, einschließlich Schalentieren, für den menschlichen Verzehr."
9536,"Anweisungen zur Tierpflege erteilen, Beraten und Informierten der Mitarbeiter in der Tierpflege bezüglich der Behandlung des Tieres, der Ernährungsgewohnheiten, der Ernährung und des Gesundheitszustands sowie der medizinischen Bedürfnisse des Tieres."
9537,"bei industriellen Versandvorgängen verwendete Verpackungsarten, Kenntnis der verschiedenen Arten von Verpackungsmaterialien, die je nach Art der zu versenden Waren bei industriellen Versandvorgängen verwendet werden. Einhaltung der Vorschriften über die Verpackung von Waren."
9538,"Führung, Navigation und Steuerung, Das Gebiet des Ingenieurwesens, das sich mit der Gestaltung und Entwicklung von Systemen befasst, die die Bewegung von Kraftfahrzeugen, Schiffen, Raum- und Luftfahrzeugen steuern können. Es schließt die Kontrolle des Flugwegs des Fahrzeugs von seinem derzeitigen Standort bis zu einem bestimmten Ziel und der Geschwindigkeit und Höhe des Fahrzeugs ein."
9539,"Code-Exploits entwickeln, Erstellen und Testen von Software-Exploits in einem kontrollierten Umfeld zur Aufdeckung und Kontrolle von Systemfehlern oder Schwachstellen."
9540,"Signale zum Einwinken von Flugzeugen, Die Gesten und Handzeichen, die eingesetzt werden, um Luftfahrzeuge nach offiziellen Vorschriften für Marshaller einzuwinken."
9541,"Patrouillen koordinieren, Koordinieren der Untersuchung und Inspektion eines bestimmten Gebiets durch Zuteilung von Streifenbeamten für bestimmte Routen und Bereiche, Festlegen des Bereichs, in dem Patrouillen durchgeführt werden müssen, sowie Koordinieren der Maßnahmen während der Patrouillen."
9542,"Sendeausrüstung bedienen, Betrieben von Sendeausrüstung, um Fernseh- und Hörfunksignale zu erzeugen, zu schalten, zu empfangen, aufzunehmen, zu bearbeiten und wiederzugeben."
9543,"Produktcodierungssystem, Verpackungscodes und Kennzeichnungen, die zur ordnungsgemäßen Handhabung von Waren erforderlich sind."
9544,"TV- oder Radiosendungen vorbereiten, Festlegen des Zeitrahmens, des Inhalts und der Organisation einer Fernsehshow oder Radiosendung."
9545,"physikalische und rehabilitative Medizin, Methoden zur Diagnose und Behandlung von Menschen mit körperlichen Beeinträchtigungen oder Behinderungen mit dem Ziel, durch medizinische Verletzungen oder Krankheiten verlorene Körperfunktionen wiederherzustellen."
9546,"technologische Aktivitäten koordinieren, Unterweisen von Kollegen und anderen beteiligten Parteien, um das gewünschte Ergebnis eines Technologieprojekts zu erreichen oder festgelegte Ziele innerhalb einer Organisation aus der Technologiebranche zu verwirklichen."
9547,"Berichte über Interviews bewerten, Bewerten der Qualität und Plausibilität der Befragungsergebnisse anhand der Unterlagen unter Berücksichtigung verschiedener Faktoren, wie z. B. der Gewichtung."
9548,"über die Art eines Gentests entscheiden, Suchen nach geeigneten Tests für einen bestimmten Patienten unter Berücksichtigung von Tests der Molekulargenetik, Zytogenetik und speziellen Biochemie."
9549,"SPARK, Softwareentwicklungsumgebung des Java-Micro-Frameworks mit speziellen Merkmalen und Komponenten, die bei der Entwicklung von Webanwendungen unterstützen und anleiten."
9550,"Kunden und Kundinnen Telekommunikationsgeräte empfehlen, Beraten von Kunden zu elektronischen Geräten und Telekommunikationsgeräten und Empfehlen geeigneter Geräte unter Berücksichtigung von Faktoren wie Kapazität, Kosten und Flexibilität."
9551,"Technologie für die Herstellung von Bekleidung, Traditionelle und moderne Technologien für die Herstellung von Bekleidung, einschließlich Prozessen, Maschinen usw., um Schnittvorlagen zusammenzustellen und zu entwerfen, die Erzeugniskalkulation zu unterstützen sowie die Reihenfolge der Prozessschritte und die Kriterien für die Qualitätssicherung festzulegen."
9552,"diagnostische Verfahren an Fahrzeugen durchführen, Durchführen von diagnostischen Verfahren für Fahrzeugsysteme; Festlegen und Durchführen aller erforderlichen Instandsetzungs- und Wartungsarbeiten."
9553,"Bedienern von Multimediaanlagen assistieren, Bei Bedarf Übernehmen von Aufgaben für den Bediener von Multimediaanlagen. Weiterleiten von Anrufen an den Bediener der Multimediaanlage oder eigenständiges Bedienen der Multimediaausrüstung."
9554,"Personal von Spielbanken evaluieren, Bewerten der Leistung und der erreichten Ergebnisse der Mitarbeiter; Erstellen von Leistungsbewertungen."
9555,"Pflanzen beschneiden, Durchführen des Pflanzenbeschnitts mit geeigneten Werkzeugen für unterschiedliche Zwecke, wie Erhaltungsschnitt, Pflanz- und Erziehungsschnitt, Fruchtschnitt oder eine Volumenreduzierung durch einen Auslichtungsschnitt."
9556,"Umfangfräsen bedienen, Bedienen einer Umfangfräse, einer Maschine mit einer großen rotierenden Stahltrommel, deren Wolframkarbidzähne Mineralien aus dem Flöz schneiden. Bedienen der Fräse und ständiges Weiterschieben der Maschine per Fernbedienung oder vom Fahrersitz aus."
9557,"einen ganzheitlichen Ansatz in den sozialen Dienste umsetzen, Berücksichtigung des Nutzers der sozialen Dienste in jeder Situation unter Beachtung der Zusammenhänge zwischen der Mikro-, Meso- und Makrodimension von sozialen Problemen, sozialer Entwicklung und Sozialpolitik."
9558,"Seitenränder schneiden, Anlegen der Schneideschablone, Einstellen des Schnittmessers, Einlegen der Papierbögen und Schneiden der Seitenränder unter Wahrung von Qualität und Quantität, um die gewünschte Form zu erhalten."
9559,"am Veranstaltungsort Programme verteilen, Verteilen von Broschüren und Programmen zur Veranstaltung an die Gäste."
9560,"Konformitätsunterlagen erstellen, Erstellen von Unterlagen mit Rechtswirkung, die belegen, dass eine Maschine oder Anlage den Vorschriften entspricht."
9561,"Trends bei Sportausrüstungen folgen, Verfolgen wesentlicher Entwicklungen und Trends in einer bestimmten Sportart. Kenntnis der aktuell bedeutsamen Sportler, Geräte und Gerätehersteller."
9562,"Qualitätstests bei Milch durchführen, Durchführung von und Bericht über Qualitätsprüfungen von Milchproben unter Berücksichtigung gesetzlicher Vorgaben."
9563,"Einfluss von Materialeigenschaften auf den Fluss in Rohrleitungen berücksichtigen, Berücksichtigung der Materialeigenschaften, um sicherzustellen, dass der Fluss in Rohrleitungen nicht unterbrochen wird. Beachtung der zu erwartenden Materialdichte bei der Planung von Rohrleitungen und der täglichen Instandhaltung von Rohrleitungsinfrastrukturen."
9564,"Konfliktmanagement, Verfahren zur Beilegung von Konflikten oder Streitigkeiten in einer Organisation oder Einrichtung. Dabei geht es darum, aus Fehlern zu lernen und somit die negativen Aspekte eines Konflikts zu verringern und seine positiven Effekte zu erhöhen."
9565,"Parrot Security OS, Das Betriebssystem „Parrot Security“ ist eine Linux-Distribution, die Cloud-Penetrationstests durchführt und Sicherheitslücken in Bezug auf potenziell unberechtigten Zugriff analysiert."
9566,"betriebliche Tätigkeiten koordinieren, Synchronisierung von Tätigkeiten und Zuständigkeiten des operativen Personals, um sicherzustellen, dass die Ressourcen eines Unternehmens möglichst effizient zur Erreichung der festgelegten Ziele eingesetzt werden."
9567,"Agrarwissenschaft, Wissenschaft mit dem Ziel, die Agrarproduktion mit dem Schutz und der Regeneration der natürlichen Umwelt zu kombinieren. Umfasst die Grundsätze und Methoden einer kritischen Auswahl sowie angemessene Anwendungsmethoden für Nachhaltigkeit in der Landwirtschaft."
9568,"gesundheitsbezogene Forschung betreiben, Betreiben von Forschung zu Gesundheitsthemen und Weitergabe der Ergebnisse durch mündliche Vorträge, öffentliche Präsentationen, schriftliche Berichte oder andere Publikationsformen."
9569,"detaillierte Tabakwarenherstellungsarbeiten ausführen, Ausführen präziser Arbeiten mit großer Aufmerksamkeit und Detailgenauigkeit bei allen Schritten zur Herstellung hochwertiger Tabakwaren."
9570,"Bonitätsgeschichte potenzieller Kunden analysieren, Analyse der Zahlungsfähigkeit und der Bonitätsgeschichte potenzieller Kunden oder Geschäftspartner."
9571,"digitale Instrumente verwenden, Verwenden von Computern oder Synthesizern, um Musik zu komponieren und zu arrangieren."
9572,"Hydroponik, Der erdenlose Anbau von Pflanzen durch die Anwendung von mineralischen Nährlösungen.
   "
9573,"Anwendungsschnittstellen entwerfen, Erstellen und Programmieren von Anwendungsschnittstellen unter Einbeziehung ihrer Funktionsweise, ihrer Inputs und Outputs sowie der zugrunde liegenden Typen."
9574,"Verantwortlichkeiten delegieren, Delegieren von Verantwortlichkeiten, Tätigkeiten und Aufgaben an andere nach Maßgabe ihrer Fähigkeit, ihres Vorbereitungsstands und ihrer Kompetenz. Sicherstellen, dass die Betroffenen wissen, was sie tun müssen und wann sie es tun müssen.
  "
9575,"Marktanalyse, Marktbeobachtung und Marktforschung einschließlich der speziellen Forschungsmethoden."
9576,"Mehrwertsteuergesetz, Steuern auf die Einkaufspreise von Waren und die einschlägigen Rechtsvorschriften."
9577,"Vorschriften für die Kraft- und Brennstofflagerung durchsetzen, Durchsetzung von Vorschriften für die Kraft- und Brennstofflagerung im Einklang mit den staatlichen und umweltpolitischen Maßnahmen und Vorschriften."
9578,"Techniken zur persönlichen Reflexion auf der Grundlage von Feedback, Selbstbeurteilungs- und Reflexionsprozesse auf der Grundlage von 360-Grad-Feedback von Untergebenen, Kollegen und Vorgesetzten, die das persönliche und berufliche Wachstum unterstützen.
   "
9579,"Boden auf die Rasenverlegung präparieren, Koordinierung der Arbeiten zur Säuberung und Vorbereitung der für die Rasenverlegung bestimmten Flächen. Sicherstellen, dass die dabei zu verwendenden Arbeitsmethoden festgelegt und klar kommuniziert werden. Beaufsichtigung der Säuberung und der Vorbereitung gemäß den Spezifikationen und Aufrechterhalten einer hohen Arbeitsqualität."
9580,"Kommissionierungsnormen erfüllen, Durchführung von Kommissionierungstätigkeiten gemäß den Qualitätsstandards."
9581,"Programmideen entwickeln, Entwickeln von Ideen für Fernseh- und Hörfunkprogramme entsprechend der Politik des Senders."
9582,"Einsatzkräfte koordinieren, Alarmieren und koordiniertes Entsenden von Rettungspersonal nach Notrufen und Alarmsignalen."
9583,"Einfluss der Politik auf Sportveranstaltungen, Politischer Kontext der derzeitigen Dienstleistungserbringung und mögliche externe Einflussfelder für die Sportorganisation."
9584,"Metallteile durch additive Fertigung herstellen, Herstellung von Teilen gemäß den Spezifikationen und Gewährleistung der Einhaltung der Qualitätsanforderungen. Dazu gehören die Identifizierung von Problemen und die Umsetzung von Korrektur- oder Präventivmaßnahmen auf der Grundlage von Anforderungen und Rückmeldungen der Ingenieure für die additive Metallfertigung.
	"
9585,"sachgerechte Wasserspeicherung sicherstellen, Sicherstellen, dass ordnungsgemäße Verfahren eingehalten und die erforderliche Ausrüstung vorhanden und einsatzbereit ist, um Wasser vor der Behandlung oder Verteilung zu speichern."
9586,"Schiffs-Steuerungsvorrichtungen warten, Warten und bei Bedarf Reparieren von Vorrichtungen wie Propellern, die zum Steuern der Schiffe erforderlich sind."
9587,"Anzeichen von Korrosion erkennen, Erkennen von Oxidationsreaktionen des Metalls mit der Umwelt, die Rost oder Kupferkorrosion, Spannungsrisse und andere Schäden hervorrufen, und Ermitteln der Korrosionsrate."
9588,"Videoüberwachungsanlagen betreiben, Betreiben eines Systems von Kameras innerhalb einer Einrichtung, die ein Signal an eine Gruppe von Anzeigegeräten übertragen."
9589,"Arten der Massage, Angewandte Techniken und Arten von Massagebehandlungen wie Shiatsu-, Tiefengewebs-, schwedische, Hot-Stone- und Thai-Massage."
9590,"Projektregeln begutachten, Begutachtung von Projekten, damit die gesetzlichen Vorschriften und die Spezifikationen eingehalten werden. Abfassen von Empfehlungen für bestehende Spezifikationen und Pläne."
9591,"über Holzernte informieren, Anleitung zur Anwendung der am besten geeigneten Holzerntemethode: Kahlschlag, Schirmschlag, Einschlag unter Belassung von Samenbäumen, Pulkausleseverfahren oder Plenterbetrieb."
9592,"Abschlussverfahren prüfen, Überprüfung der Dokumentation und Sammlung von Informationen über die Ausführung von Wertpapiergeschäften – d. h. den Schritt, bei dem das Eigentum offiziell von einer Partei auf die andere übergeht –, um festzustellen, ob alle Verfahren mit den Rechtsvorschriften vereinbar sind und ob alle vertraglichen Vereinbarungen eingehalten werden."
9593,"Unreal Engine, Spiel-Engine, deren Software-Framework aus integrierten Entwicklungsumgebungen und speziellen Designwerkzeugen besteht, die für die schnelle Iteration von Computerspielen der Nutzer konzipiert wurden."
9594,"Qualität von Teppichen erläutern, Informieren des Kunden über die Zusammensetzung, die Fertigungsprozesse und die Qualität verschiedener Teppiche.
	"
9595,"Anforderungen der Geschäftswelt analysieren, Analysieren der Bedürfnisse und Erwartungen der Kunden in Bezug auf ein Produkt oder eine Dienstleistung, um Abweichungen und mögliche Unstimmigkeiten zwischen den beteiligten Akteuren zu ermitteln und zu beheben."
9596,"Bewegungstherapie, Verwendung therapeutischer Muskelbewegungen bei der Behandlung von Krankheiten und Gesundheitsstörungen."
9597,"Dickenhobelmaschine bedienen, Beschicken der Dickenhobelmaschine mit Holzwerkstücken, Entnehmen des fertig bearbeiteten Werkstücks mit ebenen Flächen. Vermeiden der Entstehung von Vertiefungen am Werkstück beim Einschieben und Herausziehen, indem ein Hilfsstück von der gleichen Dicke vor- bzw. nachgeschoben wird."
9598,"Strategie des Content Marketing, Erstellung und Freigabe von Medieninhalten und Veröffentlichungen zwecks Kundengewinnung."
9599,"Verkaufsberichte erzeugen, Aufzeichnen abgehender Anrufe und verkaufter Produkte innerhalb eines bestimmten Zeitraums, einschließlich Angaben zu den Verkaufsmengen, der Zahl der kontaktierten Neukunden und den entstandenen Kosten."
9600,"Verfahren für die Getränkeherstellung entwickeln, Beschreiben der Arbeitsabläufe, Verfahren und Tätigkeiten, die für die Herstellung von Getränken erforderlich sind, um die Produktionsziele zu erreichen."
9601,"Kundenzufriedenheitsuntersuchung für Duftstoffe durchführen, Testen einer neuen Serie von Duftstoffen bei einer ausgewählten Gruppe freiwilliger Kunden, um festzustellen, wie sie auf die neuen Produkte reagieren und wie zufrieden sie damit sind."
9602,"Verfahren der Getreidetrocknung, Formeln und Techniken zur Getreidetrocknung abhängig von Anforderungen und Produkt. Temperaturregelung, Trocknungsdauer und Handhabung des Getreides vor und nach der Trocknung."
9603,"Fischschwärme beurteilen, Beurteilung der Informationen, die durch elektronische Geräte und andere Hilfsmittel für die Fischerei bereitgestellt werden, um die Eigenschafen eines Fischschwarms zu bewerten."
9604,"Anweisungen zur Zirkustakelage erteilen, Detailliertes Instruieren über die vorgesehene Verwendung, den Ort, die Anforderungen und die Sicherheit der Zirkustakelage, um eine sichere und präzise Montage und Installation zu gewährleisten.
	"
9605,"Körperteile abformen, Verwendung spezieller Produkte wie Silikon zum Abformen der Hand, des Gesichts oder anderen Körperteile bei einer sogenannten Lebend- oder Körperabformung. Verwendung von Formen oder anderen Materialien zur Herstellung medizinischer Prothesen und Orthesen."
9606,"Aktienmarkt beobachten, Tägliches Beobachten und Analysieren des Aktienmarkts und seiner Trends, um anhand aktueller Informationen Anlagestrategien zu entwickeln."
9607,"technische Zeichnungen lesen, Lesen der technischen Zeichnungen eines Produkts, die der Ingenieur erstellt hat, um Verbesserungsvorschläge zu unterbreiten, Modelle für das Produkt herzustellen oder es zu bedienen."
9608,"Kommunikations- und Kollaborationssoftware verwenden, Nutzen einfacher digitaler Werkzeuge und Technologien für die Kommunikation, Interaktion und Zusammenarbeit mit anderen.
  "
9609,"Ausgabenkontrolle ausüben, Vergleich der Ausgabenposten mit den Einnahmen und Verwendungszwecken verschiedener Abteilungen, Unternehmen oder größerer Einheiten. Abgeben von Empfehlungen zur effizienten Verwendung finanzieller Mittel."
9610,"Baumaschinen für die Baustoffhandhabung, Maschinen, die für die Baustoffhandhabung in allen Bauphasen – von Fundamentarbeiten bis hin zur Innen- und Außenausführung – benötigt werden."
9611,"geschriebenes Arabisch verstehen, Lesen und Verstehen schriftlicher Texte in arabischer Sprache."
9612,"Abfall entsorgen, Bewirtschaftung und Entsorgung von biologischen und chemischen Abfällen gemäß den gesetzlichen Vorschriften."
9613,"Online Analytical Processing, Online-Tools zur Analyse, Aggregation und Präsentation multidimensionaler Daten, die es Nutzern ermöglichen, Daten interaktiv und selektiv zu extrahieren und unter speziellen Gesichtspunkten anzuzeigen."
9614,"Bücher verkaufen, Erbringen der Dienstleistung, Bücher an Kunden zu verkaufen."
9615,"Synfig, Grafisches IKT-Werkzeug zur digitalen Bearbeitung und Zusammenstellung von Grafiken, mit dem sich 2-D-Rastergrafiken und 2-D-Vektorgrafiken erzeugen lassen. Synfig wurde von Robert Quattlebaum entwickelt."
9616,"Laserstrahlmessung prüfen, Sichere Durchführung von Leistungsmessungen, einschließlich Leistungsstabilität. Durchführung von Strahlprofilen in verschiedenen Bereichen der Bauplattform und Verwendung anderer Messgeräte zur Bestimmung anderer Laserstrahleigenschaften.
	"
9617,"Strategie für Kundenkonto entwickeln, Entwicklung der strategischen Ziele und Maßnahmen für die künftige Interaktion der Organisation mit einem Kunden."
9618,"Teppichgreifer-Kleber auflegen, Einschlagen von Nägeln in regelmäßigen Abständen, um Teppichgreifer am Boden zu befestigen, oder Verwenden von Kleber, wenn der Boden zu hart für Nägel ist. Freilassen eines Zwischenraums zwischen Teppichgreifer und Wand oder Fußleiste, in den der Teppich eingefügt werden kann."
9619,"Dünger ausbringen, Ausbringen von Düngerlösungen zur Steigerung des Pflanzenwachstums."
9620,"Duftstoffrezepturen entwickeln, Entwicklung chemischer Formeln für bereits erfundene neue Duftstoffe."
9621,"Séance-Instrumente nutzen, Nutzung von Instrumenten für die Kommunikation mit Geistern von Verstorbenen, z. B. Ouija-Bretter, Séance-Tische oder -Kabinette."
9622,"Umschlagzuschnittsnormen, Qualität der Zuschnittsnormen für die Produktion von Umschlägen. Die Anforderungen beziehen sich auf die Form, die Sauberkeit im Zuschnitt sowie die minimale oder maximale Messerhöhe."
9623,"Entspannungstechniken, Verschiedene Methoden und Techniken, die Stress lindern und für körperliche und geistige Ruhe und Entspannung sorgen Hierzu gehören Aktivitäten wie Yoga, Qigong und Tai-Chi."
9624,"Kostümskizzen analysieren, Anhand von Kostümskizzen feststellen, welche Materialien für die Herstellung oder Verzierung von Kostümen verwendet werden sollen. Kennenlernen des Farbschemas und des Stils."
9625,"elektronische Musikinstrumente neu verkabeln, Befestigung lockerer Kabel oder Löten loser Kabelenden von elektronischen Musikinstrumenten."
9626,"IKT-Systemprogrammierung, Methoden und Werkzeuge zur Entwicklung von Systemsoftware, Spezifikationen für Systemarchitekturen und Schnittstellen zwischen Netz- und Systemmodulen und -komponenten."
9627,"Instandsetzung und Wartung von Fahrzeugkarosserien durchführen, Ausführung von Instandsetzungs- und Wartungsaufgaben an beschädigten Fahrzeugkarosserien; Befolgen der individuellen Wünsche und Anweisungen des Kunden."
9628,"Informationen zur Krebsvorsorge bereitstellen, Sensibilisierung für Krebs, Bereitstellung von präventiven Informationen und Gesundheitsberatung."
9629,"Feldforschungen durchführen, Teilnahme an Feldforschung und Evaluierung staatlicher und privater Flächen und Gewässer."
9630,"Bestandteile von Klimaanlagen, Zu den Bestandteilen von Klimaanlagen gehören z. B. Kondensatoren, Kompressoren, Verdampfer und Sensoren. Defekte Bestandteile identifizieren und reparieren bzw. austauschen."
9631,"Bräunungsspray auftragen, Auftragen von Bräunungsspray auf die Haut des Kunden mit Sprayflaschen oder anderen Geräten. Sorgfältiges Einreiben des Sprays und Erteilen von Tipps und Empfehlungen für nachhaltige Bräune."
9632,"Umwandlung von Biomasse, Prozess, bei dem Biomasse durch Verbrennung in Hitze oder durch chemische, thermische und biochemische Methoden in Biokraftstoff umgewandelt wird."
9633,"CNC-Laserschneidmaschine pflegen, Vorschriftsmäßige Überwachung und Bedienung einer numerisch gesteuerten Laserschneidmaschine (CNC-Maschine)."
9634,"Sicherheitsausstattung von Seefahrzeugen, Zur Sicherheitsausstattung von Seefahrzeugen gehören Rettungsboote, Rettungsringe, spritzwasserfeste Türen und Brandschutztüren, Sprinkleranlagen usw. Diese Sicherheitsausstattung in Notfällen verwenden."
9635,"Systeme des elektronischen Geschäftsverkehrs, Grundlegende digitale Architektur und Transaktionen für den Handel mit Produkten oder Dienstleistungen über Internet, E-Mail, mobile Geräte, soziale Medien usw."
9636,"herkömmliche Werkzeuge nutzen, Nutzung der Werkzeuge eines herkömmlichen Werkzeugkastens, z. B. Hammer, Zange, Schraubendreher und Schraubenschlüssel. Beachten der Sicherheitsvorkehrungen während des Gebrauchs dieser Werkzeuge."
9637,"Filmspulen lagern, Sicheres Lagern der Filmspulen nach der Projektion und nach Entfernen der Markierungen."
9638,"Gasflaschen vorbereiten, Bereitstellen der gefüllten Gasflasche oder des gefüllten Gaszylinders. Überprüfen, ob die neue Gasflasche bzw. der neue Gaszylinder das richtige Produkt enthält und mit dem richtigen Datum versehen ist. Anschließen der Flasche oder des Zylinders und Überprüfen des ordnungsgemäßen Funktionierens. Abnehmen gebrauchter Gasflaschen bzw. -zylinder und Lagern derselben für den Versand. Erledigung all dieser Arbeiten mit Umsicht und unter Berücksichtigung der Sicherheit und der etablierten Techniken. Wirksame Behandlung von Leckagen in Gasflaschen oder Gaszylindern und ggf. Unterrichtung der zuständigen Person."
9639,"Umweltmanagementsystem steuern, Entwicklung und Umsetzung eines Umweltmanagementsystems."
9640,"Destillieranlage bedienen, Bedienen der verschiedenen Bestandteile einer Destillieranlage, z. B. Destillationskessel, Destillationskolonne, Kondensator, Destillat und Reifefässer."
9641,"Einsatz von Staub beim Schmieden, Eigenschaften und Anwendungen von Frittenstaub, Sägemehl, Kohlenstaub usw. beim Warmschmieden. In die Formwerkzeuge eingestreuter Staub verhindert, dass das Metallstück am Formwerkzeug haften bleibt."
9642,"ergotherapeutische Wissenschaft, Wissenschaft der alltäglichen Aktivitäten, einschließlich Verhaltensweisen, Eigenschaften sowie Verhaltens- und Produktivitätsmuster."
9643,"Verfahren und Techniken für die Herstellung von Schuhen nach Goodyear-Machart, Technologie, Ausrüstung, Maschinen und Werkzeuge für die Herstellung von Schuhen nach Goodyear-Machart."
9644,"Fassadenbahn anbringen, Anbringen einer Verkleidung an Außenfassaden, um zu verhindern, dass Feuchtigkeit in das Bauwerk eindringt, und um zugleich das weitere Austreten von Feuchtigkeit zu ermöglichen. Befestigung der Fassadenbahn mit Klammern. Überkleben der Fugen."
9645,"IKT-Systemkapazität anpassen, Anpassung der Kapazität eines IKT-Systems, indem zusätzliche IKT-Systemkomponenten wie Netzwerkkomponenten, Server oder Speicher zur Deckung des Kapazitäts- oder Volumenbedarfs hinzugefügt oder neu zugewiesen werden."
9646,"Open-Source-Modell, Grundsätze und Grundlagen der serviceorientierten Modellierung von Unternehmens- und Softwaresystemen, welche die Entwicklung und Spezifikation serviceorientierter Unternehmenssysteme in einer Vielzahl von Architekturstilen (z. B. Unternehmensarchitektur) ermöglichen."
9647,"JBoss, Der Open-Source-Anwendungsserver JBoss ist eine Linux-Plattform zur Unterstützung von Java-Anwendungen und großen Websites."
9648,"Mit einem Video- und Filmproduktionsteam arbeiten, Zusammenarbeit mit Darstellern und Teammitgliedern bei der Festlegung von Anforderungen und Budgets."
9649,"Sandstrahler bedienen, Bedienen eines abrasiven Sandstrahlers, um eine raue Oberfläche abzutragen und zu glätten."
9650,"Sprengabläufe festlegen, Festlegen des zeitlichen Ablaufs von Sprengungen."
9651,"Hydraulikpresse-Bauteile, Eigenschaften und Anwendungen verschiedener Bauteile einer Hydraulikpresse, wie Kolben, Hydraulikzylinder, Hydraulikflüssigkeit, Stößel, Ober- und Unterstempel usw."
9652,"Markenleitlinien erstellen, Ausarbeiten und Umsetzen von Leitlinien für den strategischen Umgang mit der Marke durch alle Beteiligten; Erörterung relevanter Themen wie der künftigen Erwartungen und der Markenleitlinien; Bereitschaft zur Bewältigung von Herausforderungen."
9653,"Getreide konservieren, Bewertung der Getreidequalität unter Berücksichtigung von Konservierungs- und Lagerungsbedingungen und -kriterien.
   "
9654,"Teamgeist aufbauen, Schaffen eines auf gegenseitigem Vertrauen, Achtung und Zusammenarbeit beruhenden Verhältnisses zwischen Mitgliedern desselben Teams.
  "
9655,"Immobilien bewerten, Beurteilung und Bewertung von Grundstücken und Gebäuden, um ihren Preis zu schätzen."
9656,"Sicherheitsnormen für die Seeschifffahrt verwalten, Verwalten und Einhalten der Sicherheitsnormen und -verfahren im Bereich der Seeschifffahrt. Sicherstellen, dass vor dem Auslaufen eines Schiffes alle Vorschriften und Normen eingehalten werden. Gegebenenfalls Beteiligung an Notfallteams."
9657,"Unterrichtsmaterialien für Kampagnen erstellen, Entwurf und Entwicklung von Materialien für eine Multimedia-Kampagne unter Berücksichtigung von Budgetierung, Zeitplanung und Produktion."
9658,"Umwelttechnik, Anwendung wissenschaftlicher und technischer Theorien und Grundsätze zur Verbesserung der Umwelt und der Nachhaltigkeit, wie die Bereitstellung sauberer Ressourcen (z. B. Luft, Wasser und Boden) für Menschen und andere Lebewesen, die Umweltsanierung im Falle einer Umweltverschmutzung, die Entwicklung nachhaltiger Energiesysteme und die Verbesserung der Methoden für Abfallwirtschaft und Abfallreduzierung."
9659,"Einhaltung der Verfassung sicherstellen, Überprüfen der Einhaltung verfassungsrechtlicher Vorschriften durch Organisationen und Einzelpersonen und Ergreifen geeigneter Maßnahmen im Falle von Verstößen."
9660,"die Mitarbeiterinnen und Mitarbeiter über die Tageskarte informieren, Informieren der Mitarbeiterinnen und Mitarbeiter über Änderungen an der Tageskarte, um sicherzustellen, dass ihnen die Gerichte sowie deren Inhaltsstoffe und mögliche Allergene bekannt sind."
9661,"europäische Politik der Lebensmittelsicherheit, Gewährleistung eines hohen Maßes an Lebensmittelsicherheit in der EU durch kohärente Maßnahmen im Agrarsektor und angemessene Überwachung bei gleichzeitiger Gewährleistung eines wirksamen Binnenmarkts. Dies erfordert folgende Maßnahmen:
 
  Sicherstellung wirksamer Kontrollsysteme und Beurteilung der Einhaltung der EU-Standards zu Lebensmittelsicherheit und -qualität in der EU sowie in Drittländern in Bezug auf Exporte in die EU;
Unterhaltung internationaler Beziehungen zu Drittländern und internationalen Organisationen in Bezug auf die Lebensmittelsicherheit;
Unterhaltung von Beziehungen zur Europäischen Behörde für Lebensmittelsicherheit (EFSA) und Gewährleistung eines wissenschaftlich begründeten Risikomanagements."
9662,"Küchenzubehör lagern, Lagern von Küchenzubehör zur künftigen Verwendung unter sicheren und hygienisch einwandfreien Bedingungen nach vorgegebenen Richtlinien.
	"
9663,"Punkte reduzieren, Verwenden eines Kontaktrahmens oder eines automatischen Filmprozessors, um die Größe von Punkten auf Druckplatten durch eine erhöhte oder verringerte Farbzufuhr zu reduzieren."
9664,"Fischerntegerät instand halten, Reinigung und Lagerung von Fischerntegerät nach der Verwendung."
9665,"Spielplatzaufsicht halten, Beaufsichtigung der Pausenaktivitäten der Schüler, um ihre Sicherheit und ihr Wohlbefinden zu gewährleisten und erforderlichenfalls einzugreifen."
